ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_marka)","Attribute Value (pa_marka)","Attribute In Variations (pa_marka)","Attribute Is Visible (pa_marka)","Attribute Is Taxonomy (pa_marka)","Shipping Class",_wpm_gtin_code,_ywbc_barcode_value,"Product Type","Ürün görünürlüğü","Ürün kategorileri","Ürün etiketleri","Image URL"
3022,"Apetina kuutiot paprika-chili",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-kuutiot-paprika-chili/,0,9608d0bee86a,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953020216,5711953020216,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-kuutiot-paprika-chili.jpg
3023,"Apetina kuutiot öljyssä aurinkokuivatut tomaatit",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-kuutiot-oljyssa-aurinkokuivatut-tomaatit/,0,83c24f7b98e8,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953043161,5711953043161,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-kuutiot-öljyssä-aurinkokuivatut-tomaatit.jpg
3024,"Apetina kuutiot öljyssä, paahdettu chili",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-kuutiot-oljyssa-paahdettu-chili/,0,3f6ea850e035,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953046643,5711953046643,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-kuutiot-öljyssä-paahdettu-chili.jpg
3025,"Apetina kuutiot öljyssä, valkosipuli ja yrtit",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-kuutiot-oljyssa-valkosipuli-ja-yrtit/,0,ed94f2e7cc87,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953030895,5711953030895,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-kuutiot-öljyssä-valkosipuli-ja-yrtit.jpg
3026,"Apetina Paneer",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-paneer/,0,46a56041fbd3,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953062599,5711953062599,simple,visible,Peynir,,
3027,"Apetina Snack Aurinkokuivatut tomaatit",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-snack-aurinkokuivatut-tomaatit/,0,4824a3a7d93d,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466987806,5760466987806,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Snack-Aurinkokuivatut-tomaatit.jpg
3028,"Apetina Snack Chilli",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-snack-chilli/,0,4f2e66e3dd74,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466987745,5760466987745,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Snack-Chilli.jpg
3029,"Apetina Snack Paprika",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-snack-paprika/,0,876de5e90e38,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466987769,5760466987769,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Snack-Paprika.jpg
3030,"Apetina Snack yrtit ja mausteita",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-snack-yrtit-ja-mausteita/,0,738a85a2df46,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5711953014451,5711953014451,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Snack-yrtit-ja-mausteita.jpg
3031,"Apetina Keso Maustamaton raejuusto",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-keso-maustamaton-raejuusto/,0,877943cb2a68,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,,,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Keso-Maustamaton-raejuusto.jpg
3032,"Apetina Keso Täyteläinen raejuusto",---,---,"2019-09-28 16:03:48",product,https://marketim.fi/product/apetina-keso-taytelainen-raejuusto/,0,4bf7401e04d1,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,,,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Keso-Täyteläinen-raejuusto.jpg
3033,"Apetina Keso Laktoositon raejuusto",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/apetina-keso-laktoositon-raejuusto/,0,1e0d1f4ea766,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7310865094780,7310865094780,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Keso-Laktoositon-raejuusto.jpg
3034,"Apetina Keso Rasvaton Laktoositon raejuusto",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/apetina-keso-rasvaton-laktoositon-raejuusto/,0,9332c4a49d34,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7310865098375,7310865098375,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Keso-Rasvaton-Laktoositon-raejuusto.jpg
3035,"Apetina Luomu raejuusto",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/apetina-luomu-raejuusto/,0,e242bdc3878e,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300015539,6413300015539,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/Apetina-Luomu-raejuusto.jpg
3036,Kauratyynyt,---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/kauratyynyt/,0,d4a360d93b3c,1,1,,instock,,,0,Marka,Vaasan,no,yes,yes,,,,simple,visible,"Ekmek, Un, Maya",,https://marketim.fi/wp-content/uploads/2019/09/Kauratyynyt.jpg
3037,"Lapin Rieskaset peruna",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/lapin-rieskaset-peruna/,0,3ad0766b5827,1,1,,instock,,,0,Marka,Vaasan,no,yes,yes,,,,simple,visible,"Ekmek, Un, Maya",,https://marketim.fi/wp-content/uploads/2019/09/Lapin-Rieskaset-peruna.jpg
3038,"Vaalea Lounassämpylä",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/vaalea-lounassampyla/,0,f309b1dac768,1,1,,instock,,,0,Marka,Vaasan,no,yes,yes,,,,simple,visible,"Ekmek, Un, Maya",,https://marketim.fi/wp-content/uploads/2019/09/Vaalea-Lounassämpylä.jpg
3039,"Isopaahto Graham",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/isopaahto-graham/,0,398e99e85b55,1,1,,instock,,,0,Marka,Vaasan,no,yes,yes,,,,simple,visible,"Ekmek, Un, Maya",,https://marketim.fi/wp-content/uploads/2019/09/Isopaahto-Graham.jpg
3040,"Isopaahto Kaura",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/isopaahto-kaura/,0,5a015bb1fb00,1,1,,instock,,,0,Marka,Vaasan,no,yes,yes,,,,simple,visible,"Ekmek, Un, Maya",,https://marketim.fi/wp-content/uploads/2019/09/Isopaahto-Kaura.jpg
3041,"Isopaahto Monivilja",---,---,"2019-09-28 16:03:57",product,https://marketim.fi/product/isopaahto-monivilja/,0,f0cb1f9cb3f1,1,1,,instock,,,0,Marka,Vaasan,no,yes,yes,,,,simple,visible,"Ekmek, Un, Maya",,https://marketim.fi/wp-content/uploads/2019/09/Isopaahto-Monivilja.jpg
